,start_date,close_date,open,high,low,close
0,2017-1-3,2017-1-24,9252.56,9468.34,9235.95,9447.95
1,2017-10-2,2017-10-31,10425.1,10842.25,10414.53,10793.8
2,2017-11-1,2017-11-30,10816.04,10882.65,10560.44,10560.44
3,2017-12-1,2017-12-29,10591.62,10665.92,10322.76,10642.86
4,2017-2-2,2017-2-24,9502.25,9869.59,9413.77,9750.47
5,2017-3-1,2017-3-31,9751.12,9976.61,9562.75,9811.52
6,2017-4-5,2017-4-28,9856.44,9949.48,9622.25,9872.0
7,2017-5-2,2017-5-31,9926.44,10121.88,9895.65,10040.72
8,2017-6-1,2017-6-30,10064.44,10545.7,10033.25,10395.07
9,2017-7-3,2017-7-31,10368.99,10537.42,10283.95,10427.33
10,2017-8-1,2017-8-31,10408.53,10619.42,10225.28,10585.78
11,2017-9-1,2017-9-30,10576.27,10664.18,10257.02,10383.94
