,start_date,close_date,open,high,low,close
0,2020-1-2,2020-1-31,12026.5,12197.64,11418.22,11495.1
1,2020-10-5,2020-10-30,12567.88,12997.79,12519.12,12546.34
2,2020-11-2,2020-11-30,12565.32,13969.39,12480.66,13722.89
3,2020-12-1,2020-12-31,13810.55,14760.06,13749.71,14732.53
4,2020-2-3,2020-2-27,11365.9,11854.98,11138.03,11292.17
5,2020-3-2,2020-3-31,11184.66,11525.32,8523.63,9708.06
6,2020-4-1,2020-4-30,9726.2,11012.78,9651.52,10992.14
7,2020-5-4,2020-5-29,10781.51,11087.53,10658.5,10942.16
8,2020-6-1,2020-6-30,10971.4,11771.12,10971.4,11621.24
9,2020-7-1,2020-7-31,11622.64,13031.7,11622.64,12664.8
10,2020-8-3,2020-8-31,12642.73,12981.58,12144.76,12591.45
11,2020-9-1,2020-9-30,12617.39,13021.68,12149.81,12515.61
