,start_date,close_date,open,high,low,close
0,2019-1-2,2019-1-30,9725.27,10020.6,9319.28,9932.26
1,2019-10-1,2019-10-31,10855.6,11428.42,10809.28,11358.71
2,2019-11-1,2019-11-29,11373.7,11668.2,11335.51,11489.57
3,2019-12-2,2019-12-31,11509.94,12125.9,11454.38,11997.14
4,2019-2-11,2019-2-27,10029.84,10416.91,9988.83,10389.17
5,2019-3-4,2019-3-29,10385.25,10667.94,10204.21,10641.04
6,2019-4-1,2019-4-30,10714.68,11077.99,10627.01,10967.73
7,2019-5-2,2019-5-31,10992.76,11097.0,10227.44,10498.49
8,2019-6-3,2019-6-28,10482.45,10840.29,10371.08,10730.83
9,2019-7-1,2019-7-31,10821.3,10994.44,10680.85,10823.81
10,2019-8-1,2019-8-30,10773.06,10773.25,10180.04,10618.05
11,2019-9-2,2019-9-27,10613.19,10971.54,10557.03,10829.68
