,start_date,close_date,open,high,low,close
0,2024-1-2,2024-1-30,17939.79,18138.74,17151.58,18034.63
1,2024-2-1,2024-2-27,17871.27,19023.01,17832.95,18854.41
2,2024-3-1,2024-3-29,19021.35,20397.07,18923.46,20294.45
3,2024-4-1,2024-4-29,20319.73,20883.69,19291.88,20495.52
4,2024-5-2,2024-5-29,20360.67,21937.4,20222.44,21662.5
5,2024-6-3,2024-6-28,21388.71,23406.1,21264.63,23032.25
6,2024-7-1,2024-7-30,23042.7,24416.67,21833.85,22223.57
7,2024-8-1,2024-8-30,22546.4,22652.21,19662.74,22268.09
8,2024-9-2,2024-9-27,22341.9,23079.21,20922.17,22822.79
9,2024-10-1,2024-10-30,22329.65,23713.7,22193.5,22820.43
10,2024-11-1,2024-11-6,22438.93,23439.39,22231.94,23217.38
