,start_date,close_date,open,high,low,close
0,2021-1-4,2021-1-29,14720.25,16238.46,14720.25,15138.31
1,2021-2-1,2021-2-26,15176.56,16579.17,15089.96,15953.8
2,2021-3-2,2021-3-31,16127.87,16556.19,15636.43,16431.13
3,2021-4-1,2021-4-29,16538.28,17709.23,16496.16,17566.66
4,2021-5-3,2021-5-28,17505.52,17546.94,15159.86,16870.86
5,2021-6-1,2021-6-29,17098.49,17713.24,16775.85,17598.19
6,2021-7-1,2021-7-30,17801.19,18034.19,16893.7,17247.41
7,2021-8-2,2021-8-30,17256.61,17643.97,16248.08,17396.52
8,2021-9-1,2021-9-29,17463.8,17633.67,16801.78,16855.46
9,2021-10-1,2021-10-19,16883.0,16916.72,16162.17,16900.67
