,date,year,month,day,open,high,low,close,week
0,2023-07-03,2023,07,03,16946.71,17103.73,16946.71,17084.2,1
1,2023-07-04,2023,07,04,17055.19,17154.1,17042.6,17140.77,1
2,2023-07-05,2023,07,05,17130.26,17153.17,17020.01,17056.43,1
3,2023-07-06,2023,07,06,17017.09,17017.09,16749.29,16762.17,1
4,2023-07-07,2023,07,07,16736.94,16762.39,16593.84,16664.21,1
5,2023-07-10,2023,07,10,16667.43,16798.81,16635.83,16652.8,2
6,2023-07-11,2023,07,11,16675.69,16898.91,16675.69,16898.91,2
7,2023-07-12,2023,07,12,16903.25,16962.03,16864.01,16962.03,2
8,2023-07-13,2023,07,13,16994.59,17223.86,16994.59,17061.4,2
9,2023-07-14,2023,07,14,17152.81,17287.4,17128.07,17283.71,2
10,2023-07-17,2023,07,17,17279.11,17346.66,17235.92,17334.29,3
11,2023-07-18,2023,07,18,17368.36,17401.59,17164.92,17227.91,3
12,2023-07-19,2023,07,19,17265.38,17340.82,17082.54,17116.44,3
13,2023-07-20,2023,07,20,17104.91,17214.41,17098.65,17164.89,3
14,2023-07-21,2023,07,21,17106.29,17106.29,16859.13,17030.7,3
15,2023-07-24,2023,07,24,17036.79,17098.73,16941.15,17033.61,4
16,2023-07-25,2023,07,25,17061.88,17270.2,17061.88,17198.89,4
17,2023-07-26,2023,07,26,17205.47,17247.02,17121.99,17162.55,4
18,2023-07-27,2023,07,27,17189.3,17282.86,17189.3,17241.82,4
19,2023-07-28,2023,07,28,17244.51,17328.21,17179.94,17292.93,4
