,date,year,month,day,open,high,low,close,week
0,2024-11-01,2024,11,01,22438.93,22828.98,22231.94,22780.08,1
1,2024-11-04,2024,11,04,22839.18,23020.99,22792.77,22965.39,2
2,2024-11-05,2024,11,05,22870.11,23178.8,22849.83,23106.79,2
3,2024-11-06,2024,11,06,23112.95,23439.39,23035.3,23217.38,2
4,2024-11-07,2024,11,07,23180.01,23518.63,23132.94,23408.82,2
5,2024-11-08,2024,11,08,23608.11,23699.7,23509.13,23553.89,2
6,2024-11-11,2024,11,11,23477.75,23563.8,23306.66,23529.64,3
7,2024-11-12,2024,11,12,23276.76,23276.76,22981.77,22981.77,3
8,2024-11-13,2024,11,13,22894.91,23046.47,22860.23,22860.23,3
9,2024-11-14,2024,11,14,22821.04,22893.82,22619.71,22715.38,3
