,date,year,month,day,open,high,low,close,week
0,2022-04-01,2022,04,01,17657.76,17657.76,17465.61,17625.59,1
1,2022-04-06,2022,04,06,17484.19,17528.99,17381.07,17522.5,2
2,2022-04-07,2022,04,07,17430.13,17438.6,17178.63,17178.63,2
3,2022-04-08,2022,04,08,17210.4,17316.69,17210.4,17284.54,2
4,2022-04-11,2022,04,11,17273.05,17316.35,17046.67,17048.37,3
5,2022-04-12,2022,04,12,17005.84,17100.85,16905.13,16990.91,3
6,2022-04-13,2022,04,13,17080.4,17333.21,17080.4,17301.65,3
7,2022-04-14,2022,04,14,17353.25,17374.14,17245.65,17245.65,3
8,2022-04-15,2022,04,15,17139.34,17141.33,17004.18,17004.18,3
9,2022-04-18,2022,04,18,16958.66,16999.36,16845.51,16898.87,4
10,2022-04-19,2022,04,19,16926.34,17106.26,16926.34,16993.4,4
11,2022-04-20,2022,04,20,17057.13,17148.88,16983.55,17148.88,4
12,2022-04-21,2022,04,21,17159.88,17213.66,17106.37,17127.95,4
13,2022-04-22,2022,04,22,17088.76,17088.76,16923.87,17025.09,4
