,date,year,month,day,open,high,low,close,week
0,2017-08-01,2017,08,01,10408.53,10470.03,10408.53,10437.29,1
1,2017-08-02,2017,08,02,10479.26,10519.27,10479.26,10519.27,1
2,2017-08-03,2017,08,03,10464.1,10478.62,10427.72,10469.88,1
3,2017-08-04,2017,08,04,10470.96,10510.7,10466.25,10506.56,1
4,2017-08-07,2017,08,07,10521.69,10592.31,10521.69,10579.38,2
5,2017-08-08,2017,08,08,10598.59,10619.42,10533.72,10568.97,2
6,2017-08-09,2017,08,09,10523.51,10536.19,10457.52,10470.38,2
7,2017-08-10,2017,08,10,10470.03,10477.79,10303.47,10329.74,2
8,2017-08-11,2017,08,11,10267.05,10338.06,10238.5,10329.57,2
9,2017-08-14,2017,08,14,10347.66,10365.22,10225.28,10225.28,3
10,2017-08-15,2017,08,15,10271.03,10336.22,10271.03,10311.16,3
11,2017-08-16,2017,08,16,10302.83,10322.38,10245.72,10290.39,3
12,2017-08-17,2017,08,17,10302.54,10372.41,10302.54,10369.37,3
13,2017-08-18,2017,08,18,10324.83,10330.39,10259.83,10321.33,3
14,2017-08-21,2017,08,21,10316.09,10336.37,10282.72,10326.39,4
15,2017-08-22,2017,08,22,10353.37,10410.47,10353.37,10392.07,4
16,2017-08-23,2017,08,23,10418.32,10458.91,10378.01,10406.81,4
17,2017-08-24,2017,08,24,10414.66,10488.96,10410.73,10488.96,4
18,2017-08-25,2017,08,25,10497.86,10519.84,10478.72,10515.51,4
19,2017-08-28,2017,08,28,10502.8,10542.37,10498.88,10525.98,5
20,2017-08-29,2017,08,29,10518.69,10518.69,10463.22,10496.57,5
21,2017-08-30,2017,08,30,10511.59,10574.53,10511.59,10569.4,5
22,2017-08-31,2017,08,31,10586.65,10609.48,10551.95,10585.78,5
