,date,year,month,day,open,high,low,close,week
0,2024-02-01,2024,02,01,17871.27,17968.11,17832.95,17968.11,1
1,2024-02-02,2024,02,02,18016.35,18059.93,17985.89,18059.93,1
2,2024-02-05,2024,02,05,18047.4,18115.8,17992.17,18096.07,2
3,2024-02-15,2024,02,15,18664.45,18725.47,18550.86,18644.57,3
4,2024-02-16,2024,02,16,18639.66,18715.69,18585.14,18607.25,3
5,2024-02-19,2024,02,19,18561.04,18663.74,18561.04,18635.8,4
6,2024-02-20,2024,02,20,18610.21,18756.33,18610.21,18753.16,4
7,2024-02-21,2024,02,21,18673.49,18729.03,18645.27,18676.31,4
8,2024-02-22,2024,02,22,18826.85,18881.77,18758.15,18852.78,4
9,2024-02-23,2024,02,23,18950.07,19012.38,18889.19,18889.19,4
10,2024-02-26,2024,02,26,18899.39,18974.08,18854.71,18948.05,5
11,2024-02-27,2024,02,27,18964.49,19023.01,18752.53,18854.41,5
