,date,year,month,day,open,high,low,close,week
0,2019-06-03,2019,06,03,10482.45,10511.2,10383.51,10500.07,1
1,2019-06-04,2019,06,04,10499.51,10518.33,10421.81,10429.12,1
2,2019-06-05,2019,06,05,10497.5,10541.29,10446.51,10461.62,1
3,2019-06-06,2019,06,06,10409.9,10429.33,10371.08,10409.2,1
4,2019-06-10,2019,06,10,10486.23,10566.47,10466.24,10566.47,2
5,2019-06-11,2019,06,11,10567.54,10637.9,10548.06,10607.76,2
6,2019-06-12,2019,06,12,10605.75,10630.69,10566.37,10615.66,2
7,2019-06-13,2019,06,13,10582.19,10617.06,10539.49,10561.01,2
8,2019-06-14,2019,06,14,10546.42,10568.92,10517.82,10524.67,2
9,2019-06-17,2019,06,17,10488.7,10562.97,10474.19,10530.54,3
10,2019-06-18,2019,06,18,10547.15,10573.77,10521.7,10566.74,3
11,2019-06-19,2019,06,19,10650.48,10778.64,10650.48,10775.34,3
12,2019-06-20,2019,06,20,10749.41,10799.14,10745.25,10785.01,3
13,2019-06-21,2019,06,21,10817.71,10840.29,10773.47,10803.77,3
14,2019-06-24,2019,06,24,10734.25,10786.33,10695.49,10779.45,4
15,2019-06-25,2019,06,25,10777.18,10787.62,10693.04,10706.72,4
16,2019-06-26,2019,06,26,10661.39,10690.98,10645.37,10652.55,4
17,2019-06-27,2019,06,27,10674.2,10800.29,10674.2,10773.9,4
18,2019-06-28,2019,06,28,10786.66,10788.08,10719.08,10730.83,4
