,date,year,month,day,open,high,low,close,week
0,2017-05-02,2017,05,02,9926.44,9951.14,9925.75,9941.27,1
1,2017-05-03,2017,05,03,9957.62,9979.91,9937.99,9955.33,1
2,2017-05-04,2017,05,04,9962.73,9973.76,9938.96,9967.64,1
3,2017-05-05,2017,05,05,9954.94,9960.99,9899.94,9899.94,1
4,2017-05-08,2017,05,08,9934.13,9964.86,9900.07,9937.25,2
5,2017-05-09,2017,05,09,9967.01,10001.94,9899.08,9915.48,2
6,2017-05-10,2017,05,10,9935.22,9971.98,9932.17,9968.32,2
7,2017-05-11,2017,05,11,9968.51,10018.79,9964.3,10001.48,2
8,2017-05-12,2017,05,12,9981.77,10008.25,9961.37,9986.82,2
9,2017-05-15,2017,05,15,9978.28,10036.82,9978.28,10036.82,3
10,2017-05-16,2017,05,16,10037.58,10058.59,9991.08,10031.49,3
11,2017-05-17,2017,05,17,10019.62,10029.62,9967.97,10013.67,3
12,2017-05-18,2017,05,18,9952.64,9969.45,9895.65,9969.45,3
13,2017-05-19,2017,05,19,9970.4,9979.73,9947.14,9947.62,3
14,2017-05-22,2017,05,22,9965.08,9997.26,9960.94,9997.26,4
15,2017-05-23,2017,05,23,9994.68,10038.2,9992.58,10007.84,4
16,2017-05-24,2017,05,24,10014.15,10059.74,10014.15,10044.42,4
17,2017-05-25,2017,05,25,10059.91,10108.49,10059.2,10108.49,4
18,2017-05-26,2017,05,26,10090.18,10121.88,10072.84,10101.95,4
19,2017-05-31,2017,05,31,10095.95,10116.13,10025.88,10040.72,5
