,date,year,month,day,open,high,low,close,week
0,2018-08-01,2018,08,01,11062.36,11100.02,11058.28,11098.13,1
1,2018-08-02,2018,08,02,11095.67,11095.67,10919.13,10929.77,1
2,2018-08-03,2018,08,03,10957.3,11012.43,10957.3,11012.43,1
3,2018-08-06,2018,08,06,10997.26,11054.49,10994.97,11024.1,2
4,2018-08-07,2018,08,07,11024.97,11030.09,10983.44,10983.44,2
5,2018-08-08,2018,08,08,11026.07,11095.5,11026.07,11075.25,2
6,2018-08-09,2018,08,09,11063.62,11063.62,11001.96,11028.07,2
7,2018-08-10,2018,08,10,11009.96,11033.89,10972.25,10983.68,2
8,2018-08-13,2018,08,13,10939.68,10939.68,10693.73,10748.92,3
9,2018-08-14,2018,08,14,10797.95,10829.85,10755.53,10824.23,3
10,2018-08-15,2018,08,15,10827.28,10827.28,10688.59,10716.75,3
11,2018-08-16,2018,08,16,10663.57,10725.71,10606.26,10683.9,3
12,2018-08-17,2018,08,17,10702.6,10757.01,10688.55,10690.96,3
13,2018-08-20,2018,08,20,10698.76,10729.9,10663.44,10699.05,4
14,2018-08-21,2018,08,21,10697.01,10792.2,10697.01,10792.2,4
15,2018-08-22,2018,08,22,10790.24,10828.21,10774.69,10804.2,4
16,2018-08-23,2018,08,23,10817.33,10863.13,10802.79,10863.13,4
17,2018-08-24,2018,08,24,10865.91,10865.91,10770.32,10809.35,4
18,2018-08-27,2018,08,27,10847.17,10916.69,10847.17,10902.21,5
19,2018-08-28,2018,08,28,10946.33,11005.55,10946.33,10989.55,5
20,2018-08-29,2018,08,29,11029.12,11099.57,11029.11,11099.57,5
21,2018-08-30,2018,08,30,11153.97,11186.05,11080.07,11093.75,5
22,2018-08-31,2018,08,31,11037.26,11063.94,10987.68,11063.94,5
