,date,year,month,day,open,high,low,close,week
0,2020-06-01,2020,06,01,10971.4,11109.29,10971.4,11079.02,1
1,2020-06-02,2020,06,02,11109.27,11170.49,11102.97,11127.93,1
2,2020-06-03,2020,06,03,11182.52,11330.52,11182.52,11320.16,1
3,2020-06-04,2020,06,04,11373.94,11425.42,11341.58,11393.23,1
4,2020-06-05,2020,06,05,11418.01,11482.36,11411.94,11479.4,1
5,2020-06-08,2020,06,08,11539.0,11631.89,11528.44,11610.32,2
6,2020-06-09,2020,06,09,11600.61,11640.45,11537.38,11637.11,2
7,2020-06-10,2020,06,10,11635.99,11740.9,11621.02,11720.16,2
8,2020-06-11,2020,06,11,11738.49,11771.12,11516.59,11535.77,2
9,2020-06-12,2020,06,12,11406.54,11442.3,11244.64,11429.94,2
10,2020-06-15,2020,06,15,11436.28,11469.84,11299.45,11306.26,3
11,2020-06-16,2020,06,16,11380.67,11542.25,11380.67,11511.64,3
12,2020-06-17,2020,06,17,11525.5,11550.32,11482.32,11534.59,3
13,2020-06-18,2020,06,18,11534.2,11567.42,11485.39,11548.33,3
14,2020-06-19,2020,06,19,11557.27,11584.88,11542.37,11549.86,3
15,2020-06-22,2020,06,22,11553.91,11632.88,11553.91,11572.93,4
16,2020-06-23,2020,06,23,11618.42,11679.4,11530.85,11612.36,4
17,2020-06-24,2020,06,24,11647.86,11701.23,11637.79,11660.67,4
18,2020-06-29,2020,06,29,11608.8,11608.8,11500.65,11542.62,5
19,2020-06-30,2020,06,30,11563.6,11638.0,11563.6,11621.24,5
