,date,year,month,day,open,high,low,close,week
0,2022-06-01,2022,06,01,16718.91,16811.04,16649.91,16675.09,1
1,2022-06-02,2022,06,02,16605.46,16617.26,16540.55,16552.57,1
2,2022-06-06,2022,06,06,16570.89,16654.12,16509.01,16605.96,2
3,2022-06-07,2022,06,07,16593.75,16593.75,16465.87,16512.88,2
4,2022-06-08,2022,06,08,16538.67,16702.99,16538.67,16670.51,2
5,2022-06-09,2022,06,09,16643.95,16643.95,16557.54,16621.34,2
6,2022-06-10,2022,06,10,16581.81,16581.81,16403.33,16460.12,2
7,2022-06-13,2022,06,13,16295.07,16295.07,16055.89,16070.98,3
8,2022-06-14,2022,06,14,15975.17,16067.8,15869.06,16047.37,3
9,2022-06-15,2022,06,15,16025.84,16106.75,15981.56,15999.25,3
