,date,year,month,day,open,high,low,close,week
0,2019-05-02,2019,05,02,10992.76,11046.64,10988.7,11004.49,1
1,2019-05-03,2019,05,03,11037.99,11097.0,11018.86,11096.3,1
2,2019-05-06,2019,05,06,11005.36,11005.36,10870.4,10897.12,2
3,2019-05-07,2019,05,07,10913.95,11004.76,10913.95,10987.14,2
4,2019-05-08,2019,05,08,10938.47,10946.82,10867.06,10923.71,2
5,2019-05-09,2019,05,09,10910.47,10910.47,10732.97,10733.67,2
6,2019-05-10,2019,05,10,10751.55,10834.69,10669.39,10712.99,2
7,2019-05-13,2019,05,13,10684.04,10693.44,10549.06,10558.29,3
8,2019-05-14,2019,05,14,10480.21,10544.97,10363.02,10519.25,3
9,2019-05-15,2019,05,15,10535.24,10612.5,10535.24,10560.71,3
10,2019-05-16,2019,05,16,10556.58,10573.93,10474.61,10474.61,3
11,2019-05-17,2019,05,17,10508.56,10564.97,10384.11,10384.11,3
12,2019-05-20,2019,05,20,10405.36,10465.84,10385.18,10398.41,4
13,2019-05-21,2019,05,21,10362.35,10477.2,10342.32,10464.5,4
14,2019-05-22,2019,05,22,10481.1,10520.62,10453.5,10457.22,4
15,2019-05-23,2019,05,23,10404.0,10404.0,10289.69,10308.37,4
16,2019-05-24,2019,05,24,10313.15,10370.97,10308.59,10328.28,4
17,2019-05-27,2019,05,27,10344.18,10365.44,10305.28,10334.13,5
18,2019-05-28,2019,05,28,10348.58,10361.61,10312.31,10312.31,5
19,2019-05-29,2019,05,29,10277.35,10307.75,10227.44,10301.78,5
20,2019-05-30,2019,05,30,10307.12,10384.36,10306.03,10382.99,5
21,2019-05-31,2019,05,31,10386.12,10515.1,10369.02,10498.49,5
