,date,year,month,day,open,high,low,close,week
0,2023-03-01,2023,03,01,15435.38,15617.03,15387.38,15598.49,1
1,2023-03-02,2023,03,02,15580.28,15618.06,15492.37,15598.72,1
2,2023-03-03,2023,03,03,15621.36,15713.42,15606.85,15608.42,1
3,2023-03-06,2023,03,06,15675.28,15818.88,15675.28,15763.51,2
4,2023-03-07,2023,03,07,15763.87,15879.16,15749.04,15857.89,2
5,2023-03-08,2023,03,08,15819.18,15821.49,15740.98,15818.2,2
6,2023-03-09,2023,03,09,15827.98,15878.75,15770.66,15770.66,2
7,2023-03-10,2023,03,10,15729.29,15729.29,15488.71,15526.2,2
8,2023-03-13,2023,03,13,15514.03,15571.17,15349.67,15560.49,3
9,2023-03-14,2023,03,14,15517.74,15517.74,15348.12,15360.42,3
10,2023-03-15,2023,03,15,15425.99,15526.73,15387.59,15387.59,3
11,2023-03-16,2023,03,16,15334.25,15334.25,15186.74,15221.12,3
12,2023-03-17,2023,03,17,15337.97,15452.96,15337.97,15452.96,3
13,2023-03-20,2023,03,20,15454.75,15488.98,15399.07,15419.97,4
14,2023-03-21,2023,03,21,15437.95,15547.97,15437.95,15513.45,4
15,2023-03-22,2023,03,22,15535.17,15760.46,15535.17,15760.46,4
16,2023-03-23,2023,03,23,15711.6,15882.75,15680.84,15863.95,4
17,2023-03-24,2023,03,24,15869.84,15921.97,15845.99,15914.7,4
18,2023-03-27,2023,03,27,15873.67,15902.06,15821.63,15830.31,5
