,date,year,month,day,open,high,low,close,week
0,2018-03-01,2018,03,01,10779.1,10805.55,10709.69,10785.79,1
1,2018-03-02,2018,03,02,10719.29,10719.29,10638.98,10698.17,1
2,2018-03-05,2018,03,05,10727.45,10756.37,10642.9,10642.9,2
3,2018-03-06,2018,03,06,10711.15,10784.34,10711.15,10784.34,2
4,2018-03-07,2018,03,07,10762.99,10818.05,10745.32,10745.32,2
5,2018-03-08,2018,03,08,10788.43,10852.33,10788.43,10823.24,2
6,2018-03-09,2018,03,09,10847.74,10882.76,10845.38,10864.82,2
7,2018-03-12,2018,03,12,10908.99,11016.56,10908.99,11002.1,3
8,2018-03-13,2018,03,13,11022.15,11095.63,11014.87,11095.63,3
9,2018-03-14,2018,03,14,11063.73,11070.29,11015.47,11038.8,3
10,2018-03-15,2018,03,15,11039.6,11052.11,11008.18,11018.45,3
11,2018-03-16,2018,03,16,11010.24,11054.86,10933.46,11027.7,3
12,2018-03-19,2018,03,19,11004.81,11066.0,10983.25,11046.9,4
13,2018-03-20,2018,03,20,11016.85,11020.78,10981.04,11010.84,4
14,2018-03-21,2018,03,21,11037.35,11072.31,11011.07,11011.07,4
15,2018-03-22,2018,03,22,11045.9,11120.2,10975.33,11005.84,4
16,2018-03-23,2018,03,23,10863.67,10863.67,10758.06,10823.33,4
17,2018-03-26,2018,03,26,10783.57,10840.05,10781.43,10840.05,5
18,2018-03-27,2018,03,27,10901.69,10986.79,10901.69,10986.79,5
19,2018-03-28,2018,03,28,10939.97,10939.97,10853.48,10865.66,5
20,2018-03-29,2018,03,29,10855.66,10889.6,10815.46,10845.92,5
21,2018-03-30,2018,03,30,10905.3,10969.22,10905.3,10906.22,5
22,2018-03-31,2018,03,31,10925.71,10947.16,10905.69,10919.49,5
