,date,year,month,day,open,high,low,close,week
0,2019-12-02,2019,12,02,11509.94,11524.85,11454.38,11502.83,1
1,2019-12-03,2019,12,03,11473.32,11531.58,11460.06,11531.58,1
2,2019-12-04,2019,12,04,11511.82,11513.83,11457.43,11510.47,1
3,2019-12-05,2019,12,05,11546.75,11604.39,11546.75,11594.65,1
4,2019-12-06,2019,12,06,11639.8,11657.65,11577.83,11609.64,1
5,2019-12-09,2019,12,09,11635.47,11678.36,11631.03,11660.77,2
6,2019-12-10,2019,12,10,11647.78,11649.73,11607.26,11627.84,2
7,2019-12-11,2019,12,11,11635.07,11700.77,11622.58,11700.77,2
8,2019-12-12,2019,12,12,11766.98,11875.98,11766.98,11836.42,2
9,2019-12-13,2019,12,13,11937.9,11990.78,11913.02,11927.73,2
10,2019-12-16,2019,12,16,11915.61,11975.73,11915.61,11939.77,3
11,2019-12-17,2019,12,17,11939.62,12097.01,11939.62,12097.01,3
12,2019-12-18,2019,12,18,12061.1,12125.9,12059.92,12122.45,3
13,2019-12-19,2019,12,19,12082.98,12111.77,12008.16,12018.9,3
14,2019-12-20,2019,12,20,12001.56,12028.22,11937.45,11959.08,3
15,2019-12-23,2019,12,23,11969.14,12022.23,11960.21,12022.23,4
16,2019-12-24,2019,12,24,12023.79,12027.6,11976.38,11976.38,4
17,2019-12-25,2019,12,25,11978.94,12032.37,11973.95,12008.13,4
18,2019-12-26,2019,12,26,12018.38,12030.66,11982.64,12001.01,4
19,2019-12-27,2019,12,27,12032.72,12093.02,12032.72,12091.59,4
20,2019-12-30,2019,12,30,12094.81,12114.89,12046.22,12053.37,5
21,2019-12-31,2019,12,31,12019.19,12047.75,11997.14,11997.14,5
