,date,year,month,day,open,high,low,close,week
0,2024-08-01,2024,08,01,22546.4,22652.21,22465.06,22642.1,1
1,2024-08-02,2024,08,02,22141.2,22141.2,21636.22,21638.09,1
2,2024-08-05,2024,08,05,20982.92,20982.92,19783.5,19830.88,2
3,2024-08-06,2024,08,06,20344.39,20751.5,19662.74,20501.02,2
4,2024-08-07,2024,08,07,20638.28,21306.23,20638.28,21295.28,2
5,2024-08-08,2024,08,08,21047.16,21074.19,20723.26,20870.1,2
6,2024-08-09,2024,08,09,21212.0,21613.76,21212.0,21469.0,2
7,2024-08-12,2024,08,12,21598.93,21897.98,21598.93,21773.26,3
8,2024-08-13,2024,08,13,21816.07,21866.63,21698.47,21796.57,3
9,2024-08-14,2024,08,14,21952.03,22155.29,21942.22,22027.25,3
10,2024-08-15,2024,08,15,22005.69,22089.04,21895.17,21895.17,3
11,2024-08-16,2024,08,16,22114.72,22374.94,22114.72,22349.33,3
12,2024-08-19,2024,08,19,22338.83,22485.91,22307.17,22409.63,4
13,2024-08-20,2024,08,20,22464.07,22545.89,22369.25,22429.1,4
14,2024-08-21,2024,08,21,22316.78,22358.88,22165.82,22237.89,4
15,2024-08-22,2024,08,22,22254.59,22315.92,22096.26,22148.83,4
16,2024-08-23,2024,08,23,22042.59,22159.27,21935.98,22158.05,4
17,2024-08-26,2024,08,26,22250.49,22449.45,22164.53,22240.12,5
18,2024-08-27,2024,08,27,22179.21,22205.11,22059.51,22185.0,5
19,2024-08-28,2024,08,28,22210.57,22370.66,22108.86,22370.66,5
20,2024-08-29,2024,08,29,22136.31,22273.62,22010.89,22201.85,5
