,date,year,month,day,open,high,low,close,week
0,2023-08-01,2023,08,01,17141.97,17252.32,17095.86,17212.87,1
1,2023-08-02,2023,08,02,17207.22,17212.55,16844.57,16893.73,1
2,2023-08-04,2023,08,04,16847.24,16887.38,16748.51,16843.68,2
3,2023-08-07,2023,08,07,16870.81,17032.32,16868.74,16996.0,3
4,2023-08-08,2023,08,08,17006.46,17043.56,16812.59,16877.07,3
5,2023-08-09,2023,08,09,16836.64,16956.73,16798.5,16870.94,3
6,2023-08-10,2023,08,10,16827.11,16827.11,16601.17,16634.7,3
7,2023-08-11,2023,08,11,16644.65,16766.84,16601.25,16601.25,3
8,2023-08-14,2023,08,14,16585.41,16585.41,16307.28,16393.66,4
9,2023-08-15,2023,08,15,16438.63,16546.01,16437.63,16454.8,4
10,2023-08-16,2023,08,16,16422.2,16446.78,16304.44,16446.78,4
11,2023-08-17,2023,08,17,16411.63,16550.11,16264.65,16516.66,4
12,2023-08-18,2023,08,18,16508.46,16583.95,16344.29,16381.31,4
13,2023-08-21,2023,08,21,16414.14,16485.25,16347.77,16381.49,5
14,2023-08-22,2023,08,22,16429.69,16535.07,16407.83,16437.61,5
15,2023-08-23,2023,08,23,16440.39,16588.51,16440.39,16576.9,5
16,2023-08-24,2023,08,24,16651.03,16822.36,16651.03,16770.87,5
17,2023-08-25,2023,08,25,16708.53,16708.53,16481.58,16481.58,5
18,2023-08-28,2023,08,28,16498.86,16582.96,16498.86,16509.26,6
19,2023-08-29,2023,08,29,16528.49,16627.7,16495.76,16623.65,6
20,2023-08-30,2023,08,30,16666.33,16780.42,16666.33,16719.82,6
