,date,year,month,day,open,high,low,close,week
0,2021-05-03,2021,05,03,17505.52,17546.94,17222.35,17222.35,1
1,2021-05-04,2021,05,04,17249.56,17328.55,16647.61,16933.78,1
2,2021-05-05,2021,05,05,16968.75,17052.2,16843.44,16843.44,1
3,2021-05-06,2021,05,06,16925.52,17088.73,16764.71,16994.36,1
4,2021-05-07,2021,05,07,17032.23,17285.0,17032.23,17285.0,1
5,2021-05-10,2021,05,10,17274.23,17304.47,17188.15,17235.61,2
6,2021-05-11,2021,05,11,17137.19,17137.19,16460.87,16583.13,2
7,2021-05-12,2021,05,12,16515.88,16552.63,15165.27,15902.37,2
8,2021-05-13,2021,05,13,15668.33,16031.93,15368.54,15670.1,2
9,2021-05-14,2021,05,14,15819.24,16075.48,15702.1,15827.09,2
10,2021-05-17,2021,05,17,15554.99,15719.74,15159.86,15353.89,3
11,2021-05-18,2021,05,18,15564.96,16153.77,15564.96,16145.98,3
12,2021-05-19,2021,05,19,16112.21,16273.98,16009.76,16132.66,3
13,2021-05-20,2021,05,20,16122.52,16154.08,15943.45,16042.36,3
14,2021-05-21,2021,05,21,16136.86,16431.14,16136.86,16302.06,3
15,2021-05-24,2021,05,24,16246.52,16397.59,16136.97,16338.29,4
16,2021-05-25,2021,05,25,16444.75,16657.6,16444.75,16595.67,4
17,2021-05-26,2021,05,26,16645.17,16706.29,16523.23,16643.69,4
18,2021-05-27,2021,05,27,16591.7,16601.61,16419.42,16601.61,4
19,2021-05-28,2021,05,28,16690.04,16889.01,16690.04,16870.86,4
