,date,year,month,day,open,high,low,close,week
0,2024-05-02,2024,05,02,20360.67,20360.67,20222.44,20222.44,1
1,2024-05-03,2024,05,03,20381.98,20521.49,20272.34,20330.32,1
2,2024-05-06,2024,05,06,20479.8,20639.9,20479.8,20523.31,2
3,2024-05-07,2024,05,07,20634.62,20689.19,20493.8,20653.53,2
4,2024-05-08,2024,05,08,20604.18,20700.51,20547.48,20700.51,2
5,2024-05-09,2024,05,09,20710.05,20754.61,20560.77,20560.77,2
6,2024-05-10,2024,05,10,20582.12,20765.82,20574.01,20708.84,2
7,2024-05-13,2024,05,13,20905.16,20933.28,20816.42,20857.71,3
8,2024-05-14,2024,05,14,20835.95,20994.53,20816.77,20985.85,3
9,2024-05-15,2024,05,15,20984.7,21308.32,20984.7,21147.21,3
10,2024-05-16,2024,05,16,21319.02,21515.52,21249.88,21304.26,3
11,2024-05-17,2024,05,17,21346.75,21346.75,21218.34,21258.47,3
12,2024-05-20,2024,05,20,21278.38,21338.35,21102.18,21271.63,4
13,2024-05-21,2024,05,21,21239.26,21307.08,21131.62,21236.75,4
