,date,year,month,day,open,high,low,close,week
0,2018-04-02,2018,04,02,10936.26,10969.88,10882.05,10888.27,1
1,2018-04-03,2018,04,03,10837.54,10837.54,10775.45,10821.53,1
2,2018-04-09,2018,04,09,10880.14,10904.75,10829.02,10893.53,2
3,2018-04-10,2018,04,10,10885.64,10975.67,10874.83,10927.18,2
4,2018-04-11,2018,04,11,10961.7,11016.35,10953.31,10974.02,2
5,2018-04-12,2018,04,12,10984.12,11008.2,10920.62,10955.29,2
6,2018-04-13,2018,04,13,10975.58,10988.23,10938.37,10965.39,2
7,2018-04-16,2018,04,16,10962.36,10974.94,10921.17,10954.55,3
8,2018-04-17,2018,04,17,10953.51,10965.2,10799.07,10810.45,3
9,2018-04-18,2018,04,18,10842.88,10917.6,10809.89,10847.89,3
10,2018-04-19,2018,04,19,10891.66,10983.96,10889.71,10971.22,3
11,2018-04-20,2018,04,20,10802.42,10831.56,10770.05,10779.38,3
12,2018-04-23,2018,04,23,10756.89,10774.73,10687.25,10697.13,4
13,2018-04-24,2018,04,24,10680.38,10692.19,10540.15,10579.5,4
14,2018-04-25,2018,04,25,10541.83,10573.73,10489.2,10559.97,4
15,2018-04-26,2018,04,26,10583.08,10618.68,10478.98,10488.58,4
16,2018-04-27,2018,04,27,10546.29,10573.61,10495.67,10553.43,4
17,2018-04-30,2018,04,30,10553.41,10660.61,10539.63,10657.88,5
