,date,year,month,day,open,high,low,close,week
0,2020-02-03,2020,02,03,11365.9,11365.9,11138.03,11354.92,1
1,2020-02-04,2020,02,04,11399.46,11581.36,11393.03,11555.92,1
2,2020-02-05,2020,02,05,11601.55,11620.42,11512.71,11573.62,1
3,2020-02-06,2020,02,06,11605.11,11749.68,11605.11,11749.68,1
4,2020-02-07,2020,02,07,11712.71,11712.71,11592.09,11612.81,1
5,2020-02-10,2020,02,10,11514.72,11598.03,11423.34,11574.07,2
6,2020-02-11,2020,02,11,11614.25,11678.58,11614.25,11664.04,2
7,2020-02-12,2020,02,12,11693.4,11801.52,11693.4,11774.19,2
8,2020-02-13,2020,02,13,11813.5,11854.98,11784.94,11791.78,2
9,2020-02-14,2020,02,14,11806.52,11840.79,11788.87,11815.7,2
10,2020-02-17,2020,02,17,11770.3,11775.56,11724.82,11763.51,3
11,2020-02-18,2020,02,18,11700.91,11717.1,11642.95,11648.98,3
12,2020-02-19,2020,02,19,11655.37,11783.43,11654.16,11758.84,3
13,2020-02-20,2020,02,20,11785.78,11827.83,11714.15,11725.09,3
14,2020-02-21,2020,02,21,11721.16,11755.17,11661.63,11686.35,3
15,2020-02-24,2020,02,24,11615.28,11615.28,11512.08,11534.87,4
16,2020-02-25,2020,02,25,11506.74,11567.09,11415.47,11540.23,4
17,2020-02-26,2020,02,26,11468.6,11494.22,11408.06,11433.62,4
18,2020-02-27,2020,02,27,11436.96,11470.23,11274.52,11292.17,4
