,date,year,month,day,open,high,low,close,week
0,2018-02-01,2018,02,01,11139.4,11212.1,11139.4,11160.25,1
1,2018-02-02,2018,02,02,11151.65,11153.32,11070.43,11126.23,1
2,2018-02-05,2018,02,05,10970.3,10970.3,10855.43,10946.25,2
3,2018-02-06,2018,02,06,10761.01,10761.01,10300.4,10404.0,2
4,2018-02-07,2018,02,07,10547.64,10697.82,10547.64,10551.54,2
5,2018-02-08,2018,02,08,10559.44,10609.5,10512.93,10528.52,2
6,2018-02-09,2018,02,09,10371.01,10392.31,10189.04,10371.75,2
7,2018-02-12,2018,02,12,10429.09,10473.51,10416.01,10421.09,3
8,2018-02-21,2018,02,21,10559.79,10720.48,10559.79,10714.44,4
9,2018-02-22,2018,02,22,10698.47,10698.47,10620.8,10662.38,4
10,2018-02-23,2018,02,23,10688.97,10799.29,10688.97,10794.55,4
11,2018-02-26,2018,02,26,10827.98,10890.69,10827.98,10836.7,5
12,2018-02-27,2018,02,27,10896.16,10937.9,10815.47,10815.47,5
