,date,year,month,day,open,high,low,close,week
0,2017-10-02,2017,10,02,10425.1,10472.81,10414.53,10465.16,1
1,2017-10-03,2017,10,03,10462.7,10495.34,10445.86,10469.35,1
2,2017-10-05,2017,10,05,10473.28,10530.93,10473.28,10518.27,2
3,2017-10-06,2017,10,06,10538.21,10557.67,10511.5,10532.81,2
4,2017-10-11,2017,10,11,10576.12,10668.49,10576.12,10641.19,3
5,2017-10-12,2017,10,12,10668.39,10711.44,10668.39,10711.44,3
6,2017-10-13,2017,10,13,10712.48,10724.09,10675.83,10724.09,3
7,2017-10-16,2017,10,16,10735.14,10774.21,10723.37,10774.21,4
8,2017-10-17,2017,10,17,10790.35,10798.52,10723.15,10723.15,4
9,2017-10-18,2017,10,18,10773.85,10790.31,10684.32,10720.28,4
10,2017-10-19,2017,10,19,10745.77,10798.54,10745.77,10760.29,4
11,2017-10-20,2017,10,20,10737.87,10753.77,10702.56,10728.88,4
12,2017-10-23,2017,10,23,10759.47,10792.27,10731.9,10735.21,5
13,2017-10-24,2017,10,24,10749.9,10766.64,10726.25,10743.78,5
14,2017-10-25,2017,10,25,10771.4,10794.55,10740.07,10750.57,5
15,2017-10-26,2017,10,26,10735.35,10756.51,10716.52,10734.76,5
16,2017-10-27,2017,10,27,10757.35,10803.6,10701.08,10709.11,5
17,2017-10-30,2017,10,30,10777.6,10842.25,10743.13,10756.87,6
18,2017-10-31,2017,10,31,10768.9,10829.33,10747.37,10793.8,6
