,date,year,month,day,open,high,low,close,week
0,2018-07-02,2018,07,02,10852.17,10886.2,10777.94,10777.94,1
1,2018-07-03,2018,07,03,10802.88,10873.48,10707.68,10715.72,1
2,2018-07-04,2018,07,04,10714.25,10752.05,10680.44,10721.87,1
3,2018-07-05,2018,07,05,10690.91,10709.8,10585.27,10611.81,1
4,2018-07-06,2018,07,06,10645.66,10665.72,10523.58,10608.57,1
5,2018-07-09,2018,07,09,10638.9,10746.74,10638.9,10720.28,2
6,2018-07-10,2018,07,10,10737.62,10776.47,10728.24,10756.89,2
7,2018-07-11,2018,07,11,10693.64,10693.64,10635.03,10676.84,2
8,2018-07-12,2018,07,12,10644.91,10752.57,10643.65,10738.38,2
9,2018-07-13,2018,07,13,10769.7,10864.54,10769.7,10864.54,2
10,2018-07-16,2018,07,16,10867.97,10890.2,10817.45,10817.45,3
11,2018-07-17,2018,07,17,10802.75,10818.84,10758.83,10778.99,3
12,2018-07-18,2018,07,18,10811.43,10872.74,10788.37,10842.46,3
13,2018-07-19,2018,07,19,10868.56,10896.25,10826.14,10835.38,3
14,2018-07-20,2018,07,20,10932.51,10963.95,10893.73,10932.11,3
15,2018-07-23,2018,07,23,10929.46,10984.84,10901.75,10946.89,4
16,2018-07-24,2018,07,24,10937.77,10995.39,10917.61,10995.39,4
17,2018-07-25,2018,07,25,10957.66,10992.29,10956.0,10965.79,4
18,2018-07-26,2018,07,26,10969.35,11018.19,10966.33,11010.61,4
19,2018-07-27,2018,07,27,11023.07,11075.78,11009.16,11075.78,4
20,2018-07-30,2018,07,30,11072.7,11080.41,11001.15,11033.54,5
21,2018-07-31,2018,07,31,10997.73,11057.51,10976.46,11057.51,5
