,date,year,month,day,open,high,low,close,week
0,2023-06-01,2023,06,01,16511.0,16555.5,16477.43,16512.65,1
1,2023-06-02,2023,06,02,16525.0,16752.2,16525.0,16706.91,1
2,2023-06-05,2023,06,05,16714.48,16781.19,16703.6,16714.43,2
3,2023-06-06,2023,06,06,16712.98,16793.81,16699.83,16761.66,2
4,2023-06-07,2023,06,07,16771.76,16922.48,16771.76,16922.48,2
5,2023-06-08,2023,06,08,16864.18,16899.51,16694.21,16733.69,2
6,2023-06-09,2023,06,09,16775.92,16895.99,16775.92,16886.4,2
7,2023-06-12,2023,06,12,16899.49,16999.72,16899.49,16955.37,3
8,2023-06-13,2023,06,13,17135.84,17254.96,17129.23,17216.6,3
9,2023-06-14,2023,06,14,17190.7,17259.23,17182.18,17238.14,3
10,2023-06-15,2023,06,15,17259.37,17346.32,17259.37,17334.98,3
11,2023-06-16,2023,06,16,17342.86,17342.86,17250.79,17288.91,3
