,start_date,close_date,open,high,low,close
27,2020-7-6,2020-7-10,11941.84,12273.43,11941.84,12073.68
28,2020-7-13,2020-7-17,12109.61,12320.48,12107.04,12181.56
29,2020-7-20,2020-7-24,12205.25,12502.84,12065.8,12304.04
30,2020-7-27,2020-7-31,12618.69,13031.7,12488.01,12664.8
31,2020-8-3,2020-8-7,12642.73,12971.87,12506.59,12828.87
32,2020-8-10,2020-8-14,12786.8,12933.16,12625.54,12795.46
33,2020-8-17,2020-8-21,12813.94,12981.58,12144.76,12607.84
34,2020-8-24,2020-8-28,12629.78,12960.68,12567.95,12728.85
35,2020-8-31,2020-9-4,12763.44,12857.79,12559.78,12637.95
36,2020-9-7,2020-9-11,12645.93,12725.05,12480.5,12675.95
37,2020-9-14,2020-9-18,12680.41,13021.68,12680.41,12875.62
38,2020-9-21,2020-9-25,12874.61,12952.31,12149.81,12232.91
39,2020-9-28,2020-9-30,12282.36,12571.34,12282.36,12515.61
40,2020-1-2,2020-1-3,12026.5,12197.64,12023.6,12110.43
41,2020-1-6,2020-1-10,12035.71,12040.08,11777.45,12024.65
42,2020-1-13,2020-1-17,12069.61,12186.62,12006.08,12090.29
43,2020-1-20,2020-1-20,12107.56,12151.42,12101.55,12118.71
44,2020-1-30,2020-1-31,11933.23,11933.23,11418.22,11495.1
45,2020-10-5,2020-10-8,12567.88,12887.19,12519.12,12887.19
46,2020-10-12,2020-10-16,12959.15,12997.79,12750.37,12750.37
47,2020-10-19,2020-10-23,12803.32,12963.26,12803.32,12898.82
48,2020-10-26,2020-10-30,12923.55,12971.58,12546.34,12546.34
49,2020-11-2,2020-11-6,12565.32,12999.16,12480.66,12973.53
50,2020-11-9,2020-11-13,13053.98,13324.86,13022.92,13273.33
51,2020-11-16,2020-11-20,13356.74,13785.92,13356.74,13716.44
52,2020-11-23,2020-11-27,13793.55,13951.17,13731.81,13867.09
53,2020-11-30,2020-12-4,13917.65,14149.56,13722.89,14132.44
54,2020-12-7,2020-12-11,14230.0,14427.41,14081.42,14261.69
55,2020-12-14,2020-12-18,14238.92,14339.5,14053.35,14249.96
56,2020-12-21,2020-12-25,14273.79,14411.93,14134.87,14331.42
57,2020-12-28,2020-12-31,14363.45,14760.06,14363.45,14732.53
58,2020-2-3,2020-2-7,11365.9,11749.68,11138.03,11612.81
59,2020-2-10,2020-2-14,11514.72,11854.98,11423.34,11815.7
60,2020-2-17,2020-2-21,11770.3,11827.83,11642.95,11686.35
61,2020-2-24,2020-2-27,11615.28,11615.28,11274.52,11292.17
62,2020-3-2,2020-3-6,11184.66,11525.32,11049.85,11321.81
63,2020-3-9,2020-3-13,11221.76,11221.76,9636.15,10128.87
64,2020-3-16,2020-3-20,10069.42,10130.8,8523.63,9234.09
65,2020-3-23,2020-3-27,9025.55,9954.86,8750.14,9698.92
66,2020-3-30,2020-4-1,9571.22,9789.81,9415.52,9663.63
67,2020-4-6,2020-4-10,9707.75,10246.84,9651.52,10157.61
68,2020-4-13,2020-4-17,10147.56,10710.15,10080.65,10597.04
69,2020-4-20,2020-4-24,10612.45,10637.64,10140.09,10347.36
70,2020-4-27,2020-4-30,10407.49,11012.78,10407.49,10992.14
71,2020-5-4,2020-5-8,10781.51,10970.7,10658.5,10901.42
72,2020-5-11,2020-5-15,10942.18,11039.11,10730.55,10814.92
73,2020-5-18,2020-5-22,10753.21,11021.66,10730.7,10811.15
74,2020-5-25,2020-5-29,10812.94,11087.53,10719.25,10942.16
75,2020-6-1,2020-6-5,10971.4,11482.36,10971.4,11479.4
76,2020-6-8,2020-6-12,11539.0,11771.12,11244.64,11429.94
77,2020-6-15,2020-6-19,11436.28,11584.88,11299.45,11549.86
78,2020-6-22,2020-6-24,11553.91,11701.23,11530.85,11660.67
79,2020-6-29,2020-7-3,11608.8,11933.59,11500.65,11909.16
80,2020-7-6,2020-7-10,11941.84,12273.43,11941.84,12073.68
81,2020-7-13,2020-7-17,12109.61,12320.48,12107.04,12181.56
82,2020-7-20,2020-7-24,12205.25,12502.84,12065.8,12304.04
83,2020-7-27,2020-7-31,12618.69,13031.7,12488.01,12664.8
84,2020-8-3,2020-8-7,12642.73,12971.87,12506.59,12828.87
85,2020-8-10,2020-8-14,12786.8,12933.16,12625.54,12795.46
86,2020-8-17,2020-8-21,12813.94,12981.58,12144.76,12607.84
87,2020-8-24,2020-8-28,12629.78,12960.68,12567.95,12728.85
88,2020-8-31,2020-9-4,12763.44,12857.79,12559.78,12637.95
89,2020-9-7,2020-9-11,12645.93,12725.05,12480.5,12675.95
90,2020-9-14,2020-9-18,12680.41,13021.68,12680.41,12875.62
91,2020-9-21,2020-9-25,12874.61,12952.31,12149.81,12232.91
92,2020-9-28,2020-9-30,12282.36,12571.34,12282.36,12515.61
