,start_date,close_date,open,high,low,close
0,2018-1-2,2018-1-5,10664.82,10879.8,10650.77,10879.8
1,2018-1-8,2018-1-12,10899.09,10934.75,10770.1,10883.96
2,2018-1-15,2018-1-19,10932.37,11150.85,10911.89,11150.85
3,2018-1-22,2018-1-26,11169.79,11270.18,11089.48,11147.1
4,2018-1-29,2018-1-31,11202.27,11246.18,11007.89,11103.79
5,2018-10-1,2018-10-5,11014.19,11064.34,10446.94,10517.12
6,2018-10-8,2018-10-9,10467.85,10507.83,10403.13,10466.83
7,2018-10-11,2018-10-12,10272.04,10272.04,9740.76,10045.81
8,2018-10-15,2018-10-19,9989.63,10127.01,9762.91,9919.26
9,2018-10-22,2018-10-26,9871.3,9984.15,9400.69,9489.18
10,2018-10-29,2018-11-2,9515.43,9906.59,9459.12,9906.59
11,2018-11-5,2018-11-9,9856.85,10014.42,9782.86,9830.01
12,2018-11-12,2018-11-16,9806.8,9875.84,9616.16,9797.09
13,2018-11-19,2018-11-23,9795.47,9836.02,9632.47,9667.3
14,2018-11-26,2018-11-30,9679.98,10001.85,9679.98,9888.03
15,2018-12-3,2018-12-7,9979.21,10148.75,9664.75,9760.88
16,2018-12-10,2018-12-14,9722.97,9871.96,9626.47,9774.16
17,2018-12-17,2018-12-22,9762.49,9826.88,9585.32,9646.16
18,2018-12-24,2018-12-28,9646.53,9727.41,9473.3,9727.41
19,2018-2-1,2018-2-2,11139.4,11212.1,11070.43,11126.23
20,2018-2-5,2018-2-9,10970.3,10970.3,10189.04,10371.75
21,2018-2-12,2018-2-12,10429.09,10473.51,10416.01,10421.09
22,2018-2-21,2018-2-23,10559.79,10799.29,10559.79,10794.55
23,2018-2-26,2018-2-27,10827.98,10937.9,10815.47,10815.47
24,2018-3-1,2018-3-2,10779.1,10805.55,10638.98,10698.17
25,2018-3-5,2018-3-9,10727.45,10882.76,10642.9,10864.82
26,2018-3-12,2018-3-16,10908.99,11095.63,10908.99,11027.7
27,2018-3-19,2018-3-23,11004.81,11120.2,10758.06,10823.33
28,2018-3-26,2018-3-31,10783.57,10986.79,10781.43,10919.49
29,2018-4-2,2018-4-3,10936.26,10969.88,10775.45,10821.53
30,2018-4-9,2018-4-13,10880.14,11016.35,10829.02,10965.39
31,2018-4-16,2018-4-20,10962.36,10983.96,10770.05,10779.38
32,2018-4-23,2018-4-27,10756.89,10774.73,10478.98,10553.43
33,2018-4-30,2018-4-30,10553.41,10660.61,10539.63,10657.88
34,2018-5-2,2018-5-4,10665.52,10683.9,10500.97,10529.37
35,2018-5-7,2018-5-11,10581.78,10874.63,10555.56,10858.98
36,2018-5-14,2018-5-18,10938.3,10978.38,10819.07,10830.84
37,2018-5-21,2018-5-25,10861.66,11034.12,10861.66,10942.3
38,2018-5-28,2018-6-1,10976.49,10999.43,10799.75,10949.08
39,2018-6-4,2018-6-8,11002.15,11261.68,11002.15,11156.42
40,2018-6-11,2018-6-15,11168.99,11188.01,10981.61,11087.47
41,2018-6-19,2018-6-22,11008.77,11008.77,10828.86,10899.28
42,2018-6-25,2018-6-29,10834.07,10851.16,10633.01,10836.91
43,2018-7-2,2018-7-6,10852.17,10886.2,10523.58,10608.57
44,2018-7-9,2018-7-13,10638.9,10864.54,10635.03,10864.54
45,2018-7-16,2018-7-20,10867.97,10963.95,10758.83,10932.11
46,2018-7-23,2018-7-27,10929.46,11075.78,10901.75,11075.78
47,2018-7-30,2018-8-3,11072.7,11100.02,10919.13,11012.43
48,2018-8-6,2018-8-10,10997.26,11095.5,10972.25,10983.68
49,2018-8-13,2018-8-17,10939.68,10939.68,10606.26,10690.96
50,2018-8-20,2018-8-24,10698.76,10865.91,10663.44,10809.35
51,2018-8-27,2018-8-31,10847.17,11186.05,10847.17,11063.94
52,2018-9-3,2018-9-7,11087.86,11097.11,10807.56,10846.99
53,2018-9-10,2018-9-14,10869.8,10882.04,10667.25,10868.14
54,2018-9-17,2018-9-21,10881.78,10972.41,10750.81,10972.41
55,2018-9-25,2018-9-28,10959.56,11073.95,10941.77,11006.34
